city,country,id,latitude,longitude,temp_f,humidity,cloudiness,wind_speed,date
honningsvag,no,779554.0,70.98,25.97,29.38,97.0,76.0,20.36,1553459713.0
san isidro,ph,1689750.0,11.41,124.35,78.97,97.0,0.0,14.76,1553459714.0
ostrovnoy,ru,556268.0,68.05,39.51,30.64,90.0,88.0,14.2,1553459714.0
nekrasovka,ru,2019388.0,48.35,135.23,17.6,61.0,0.0,4.47,1553457600.0
kaniama,cd,214389.0,-7.57,24.18,68.98,96.0,32.0,2.68,1553459715.0
beringovskiy,ru,2126710.0,63.05,179.32,28.57,91.0,12.0,5.48,1553459715.0
santa rosalia,mx,3991622.0,28.71,-111.6,85.68,12.0,5.0,4.7,1553459597.0
porto walter,br,3662761.0,-8.27,-72.74,89.68,57.0,8.0,2.91,1553459716.0
thinadhoo,mv,1337610.0,0.53,72.93,83.65,100.0,92.0,8.84,1553459476.0
kazanskaya,ru,551439.0,45.41,40.44,32.0,81.0,0.0,9.62,1553459417.0
paamiut,gl,3421193.0,61.99,-49.67,37.57,77.0,48.0,37.13,1553459717.0
havre-saint-pierre,ca,5972291.0,50.23,-63.6,28.4,36.0,40.0,27.51,1553457600.0
przasnysz,pl,761218.0,53.02,20.88,40.32,64.0,0.0,2.24,1553459580.0
longyearbyen,sj,2729907.0,78.22,15.64,8.6,71.0,20.0,9.17,1553457000.0
cockburn town,tc,3576994.0,21.46,-71.14,78.97,97.0,0.0,16.89,1553459718.0
vila do maio,cv,3374120.0,15.13,-23.22,71.6,56.0,20.0,13.87,1553457600.0
pathein,mm,1328421.0,16.78,94.73,73.39,93.0,8.0,6.71,1553459719.0
saint-pierre,pm,3424934.0,46.77,-56.17,33.31,69.0,40.0,34.45,1553457600.0
tuy hoa,vn,1563281.0,13.08,109.3,76.18,90.0,88.0,4.92,1553459720.0
denpasar,id,1645528.0,-8.65,115.22,77.0,94.0,75.0,3.36,1553457600.0
kautokeino,no,779330.0,69.01,23.04,22.36,77.0,12.0,9.17,1553459720.0
coahuayana,mx,3981460.0,18.62,-100.35,89.23,20.0,0.0,3.02,1553459721.0
arman,ru,2127060.0,59.7,150.17,-4.1,61.0,8.0,3.58,1553459721.0
gusau,ng,2339937.0,12.17,6.66,75.46,30.0,0.0,6.6,1553459722.0
tautira,pf,4033557.0,-17.73,-149.15,87.37,70.0,75.0,3.36,1553459585.0
glendive,us,5654391.0,47.11,-104.71,36.37,86.0,90.0,13.87,1553458500.0
aswan,eg,359792.0,24.09,32.9,70.06,34.0,88.0,9.28,1553459723.0
faanui,pf,4034551.0,-16.48,-151.75,85.72,96.0,44.0,14.54,1553459501.0
nerchinskiy zavod,ru,2019323.0,51.31,119.61,11.74,40.0,0.0,9.62,1553459723.0
labuhan,id,1641899.0,-2.54,115.51,73.3,95.0,20.0,1.23,1553459724.0
sandovo,ru,498856.0,58.46,36.41,30.91,94.0,44.0,8.61,1553459724.0
chapais,ca,5919850.0,49.78,-74.86,10.4,30.0,1.0,11.41,1553457600.0
kawalu,id,1640902.0,-7.38,108.21,65.29,92.0,48.0,1.57,1553459725.0
teya,ru,1489656.0,60.37,92.63,23.08,95.0,80.0,2.46,1553459726.0
aleppo,sy,170063.0,36.2,37.17,45.31,82.0,36.0,4.92,1553459513.0
pokhara,np,1282898.0,28.21,83.99,52.6,67.0,0.0,4.25,1553459726.0
visby,se,2662689.0,57.64,18.3,39.06,84.0,0.0,11.41,1553459405.0
baijiantan,cn,1529626.0,45.63,85.18,32.44,88.0,92.0,1.12,1553459727.0
bima,id,1648759.0,-8.45,118.73,77.26,96.0,76.0,3.36,1553459727.0
sola,vu,2134814.0,-13.88,167.55,77.44,100.0,92.0,4.92,1553459728.0
sorland,no,3137469.0,67.67,12.69,35.6,59.0,40.0,18.34,1553455200.0
belyy yar,ru,1510377.0,53.6,91.39,35.6,93.0,75.0,4.47,1553457600.0
meulaboh,id,1214488.0,4.14,96.13,76.54,100.0,0.0,4.03,1553459729.0
izumo,jp,1861084.0,35.37,132.75,42.8,70.0,75.0,4.7,1553457600.0
port lincoln,au,2063036.0,-34.72,135.86,61.42,89.0,44.0,23.49,1553459730.0
viedma,ar,3832899.0,-40.81,-62.99,60.97,52.0,20.0,13.65,1553459730.0
lincoln,ar,3846864.0,-34.87,-61.53,69.43,51.0,0.0,10.74,1553459731.0
concordia,br,3465721.0,-27.23,-52.03,80.6,51.0,20.0,14.99,1553457600.0
pandan,ph,1695555.0,11.72,122.09,79.33,100.0,8.0,18.34,1553459731.0
sept-iles,ca,6144312.0,50.2,-66.38,21.2,26.0,20.0,19.46,1553457600.0
tucumcari,us,5495360.0,35.17,-103.73,64.74,31.0,1.0,3.36,1553459417.0
takapau,nz,2181988.0,-40.02,176.35,63.0,86.0,0.0,5.01,1553457137.0
lavrentiya,ru,4031637.0,65.58,-170.99,31.81,99.0,92.0,21.03,1553459732.0
malanje,ao,2239862.0,-9.54,16.35,65.65,97.0,76.0,2.57,1553459733.0
berdigestyakh,ru,2026861.0,62.1,126.7,7.51,73.0,68.0,7.61,1553459733.0
antofagasta,cl,3899539.0,-23.65,-70.4,69.8,64.0,0.0,13.87,1553457600.0
tramore,ie,2960992.0,52.16,-7.15,46.17,81.0,12.0,13.2,1553459575.0
jishu,cn,2036418.0,44.29,126.79,24.34,74.0,0.0,10.29,1553459734.0
half moon bay,us,5354943.0,37.46,-122.43,62.11,58.0,75.0,6.93,1553459731.0
tripoli,ly,2210247.0,32.88,13.19,57.55,100.0,0.0,1.9,1553459553.0
xiaoweizhai,cn,1789945.0,26.23,107.51,40.27,96.0,88.0,2.35,1553459735.0
las vegas,us,5506956.0,36.17,-115.15,67.15,22.0,1.0,5.82,1553459521.0
alto araguaia,br,3472473.0,-17.32,-53.22,90.67,32.0,0.0,9.06,1553459735.0
vestmannaeyjar,is,3412093.0,63.44,-20.27,32.8,100.0,20.0,5.14,1553459736.0
prince george,ca,6113365.0,53.92,-122.75,47.41,56.0,1.0,4.7,1553459418.0
jacareacanga,br,3397763.0,-6.22,-57.76,84.46,76.0,76.0,2.13,1553459736.0
plouzane,fr,2986626.0,48.38,-4.62,46.81,87.0,90.0,3.36,1553459541.0
lugovoy,ru,1498919.0,59.72,65.88,25.15,91.0,24.0,8.16,1553459737.0
tura,ru,2014833.0,64.27,100.22,-0.05,72.0,32.0,2.13,1553459737.0
montepuez,mz,1037125.0,-13.13,39.0,72.49,97.0,92.0,4.14,1553459738.0
brae,gb,2654970.0,60.4,-1.35,39.97,80.0,76.0,12.75,1553457000.0
hobyo,so,57000.0,5.35,48.53,77.89,91.0,12.0,9.17,1553459739.0
coihaique,cl,3894426.0,-45.58,-72.07,61.61,48.0,0.0,3.36,1553457600.0
santa cruz de la palma,es,2511180.0,28.68,-17.76,59.25,59.0,75.0,2.24,1553459402.0
bideford,gb,2655707.0,51.02,-4.21,43.47,87.0,0.0,9.17,1553459729.0
chico,us,5336269.0,39.73,-121.84,60.53,44.0,40.0,4.7,1553459647.0
bahar,ir,142000.0,34.91,48.44,42.8,81.0,90.0,9.17,1553457600.0
padang,id,1633419.0,-0.92,100.36,75.2,94.0,40.0,2.24,1553457600.0
ilulissat,gl,3423146.0,69.22,-51.1,30.2,46.0,68.0,19.46,1553457000.0
ndele,cf,237379.0,8.41,20.65,90.85,30.0,80.0,8.72,1553459741.0
riviere-au-renard,ca,6943832.0,49.0,-64.4,33.8,31.0,20.0,25.28,1553457600.0
erenhot,cn,2037485.0,43.65,111.97,15.61,70.0,0.0,3.69,1553459742.0
mwene-ditu,cd,207570.0,-7.01,23.45,67.0,95.0,48.0,3.02,1553459742.0
mackay,au,2159220.0,-21.15,149.2,73.15,94.0,40.0,4.7,1553459712.0
kurumkan,ru,2021188.0,54.33,110.32,-15.35,39.0,0.0,1.9,1553459743.0
duku,ng,2344415.0,11.24,4.91,81.67,34.0,8.0,6.15,1553459743.0
hofn,is,2630299.0,64.25,-15.21,38.92,98.0,0.0,8.16,1553459744.0
ipueiras,br,3392742.0,-6.66,-37.55,77.17,90.0,36.0,2.68,1553459744.0
weihe,cn,7372400.0,32.99,105.33,30.64,89.0,0.0,1.9,1553459745.0
kongwa,tz,156493.0,-6.19,36.41,67.18,67.0,0.0,5.03,1553459745.0
tagusao,ph,1684245.0,9.19,117.81,75.19,97.0,0.0,4.92,1553459745.0
daru,pg,2098329.0,-9.07,143.21,78.52,100.0,80.0,9.06,1553459746.0
nome,us,4732862.0,30.04,-94.42,75.29,64.0,90.0,9.17,1553459708.0
sitka,us,4267710.0,37.17,-99.65,62.01,53.0,0.0,11.99,1553459419.0
kapit,my,1737185.0,2.02,112.94,72.58,96.0,20.0,0.89,1553459747.0
adrar,dz,2508813.0,27.87,-0.29,73.4,18.0,0.0,8.05,1553457600.0
baykit,ru,1510689.0,61.68,96.39,17.41,83.0,88.0,2.8,1553459748.0
liverpool,ca,6057856.0,44.04,-64.71,48.0,47.0,0.0,11.99,1553459526.0
verkhnevilyuysk,ru,2013639.0,63.45,120.31,2.74,65.0,44.0,4.14,1553459748.0
wladyslawowo,pl,3081752.0,54.79,18.4,37.15,74.0,0.0,8.05,1553459657.0
sobolevo,ru,525426.0,54.43,31.9,31.18,62.0,0.0,9.73,1553459749.0
alyangula,au,2079582.0,-13.85,136.42,84.2,83.0,40.0,9.17,1553457600.0
guerrero,mx,3524374.0,19.43,-97.69,74.38,26.0,24.0,3.02,1553459750.0
santa rosa,ar,3835994.0,-36.62,-64.29,71.32,35.0,80.0,8.95,1553459751.0
shingu,jp,1847947.0,33.72,135.99,51.43,100.0,0.0,5.7,1553459751.0
niceville,us,4165995.0,30.52,-86.48,72.3,35.0,1.0,9.17,1553459749.0
biltine,td,244878.0,14.53,20.93,79.42,23.0,0.0,9.51,1553459752.0
motegi,jp,2111827.0,36.52,140.19,36.79,59.0,75.0,5.82,1553459592.0
sisimiut,gl,3419842.0,66.94,-53.67,12.19,80.0,56.0,4.14,1553459753.0
mahajanga,mg,1062663.0,-15.72,46.32,80.6,83.0,20.0,2.24,1553457600.0
dingle,ie,2964782.0,52.14,-10.27,48.2,76.0,90.0,5.82,1553455800.0
arenapolis,br,3471551.0,-14.45,-56.85,85.54,73.0,68.0,3.36,1553459754.0
kalemie,cd,214974.0,-5.95,29.2,74.65,100.0,0.0,2.57,1553459754.0
cap-aux-meules,ca,5915327.0,47.38,-61.86,35.6,59.0,75.0,23.04,1553457600.0
kununurra,au,2068110.0,-15.77,128.74,78.8,83.0,0.0,3.36,1553458800.0
aleksandrovskoye,ru,1511846.0,56.74,85.39,29.97,82.0,0.0,4.47,1553459720.0
priargunsk,ru,2017646.0,50.37,119.09,15.97,43.0,0.0,14.2,1553459756.0
ilheus,br,3461408.0,-14.79,-39.05,79.57,88.0,75.0,1.12,1553457600.0
sinnamary,gf,3380290.0,5.38,-52.96,80.59,92.0,76.0,12.19,1553459757.0
inhambane,mz,1045114.0,-23.87,35.38,77.0,83.0,20.0,7.94,1553454000.0
soure,br,3387204.0,-0.72,-48.52,80.14,90.0,76.0,7.49,1553459757.0
cidreira,br,3466165.0,-30.17,-50.22,78.34,62.0,8.0,11.74,1553459758.0
takaka,nz,2181997.0,-40.86,172.81,67.35,90.0,32.0,4.0,1553459650.0
lima,pe,3936456.0,-12.06,-77.04,75.4,65.0,0.0,11.41,1553459528.0
saint-joseph,re,6690296.0,-21.37,55.62,77.13,74.0,40.0,2.24,1553459757.0
lakatoro,vu,2136697.0,-16.11,167.42,79.42,96.0,32.0,8.5,1553459759.0
mino,jp,1857062.0,35.54,136.91,35.01,76.0,0.0,2.13,1553459532.0
constitucion,mx,4011743.0,23.99,-104.67,77.49,7.0,5.0,10.29,1553459417.0
filadelfia,py,3867291.0,-22.35,-60.04,83.92,72.0,36.0,4.7,1553459760.0
bien hoa,vn,1587923.0,10.95,106.82,82.4,78.0,40.0,11.41,1553457600.0
madang,pg,2091996.0,-5.21,145.81,74.38,100.0,76.0,1.12,1553459761.0
gberia fotombu,sl,2409019.0,9.88,-11.17,84.91,48.0,80.0,4.14,1553459761.0
petropavlovsk-kamchatskiy,ru,2122104.0,53.05,158.65,19.4,100.0,36.0,2.24,1553457600.0
shakawe,bw,933077.0,-18.36,21.84,75.28,40.0,0.0,7.72,1553459762.0
panara,in,1260600.0,22.07,78.55,59.44,65.0,0.0,2.91,1553459762.0
penzance,gb,2640377.0,50.12,-5.53,44.74,75.0,0.0,6.93,1553459586.0
ewo,cg,2260009.0,-0.88,14.81,74.65,88.0,56.0,5.59,1553459763.0
camacha,pt,2270385.0,33.08,-16.33,63.63,77.0,40.0,20.8,1553457600.0
urman,ru,478699.0,54.88,56.87,28.39,81.0,24.0,4.59,1553459764.0
port augusta,au,2063056.0,-32.49,137.76,58.15,76.0,90.0,6.93,1553459366.0
shelburne,ca,6145890.0,44.08,-80.2,45.82,56.0,20.0,6.93,1553459764.0
acapulco,mx,3533462.0,16.86,-99.88,86.0,70.0,5.0,8.05,1553456880.0
pitea,se,603570.0,65.32,21.48,34.9,51.0,0.0,11.41,1553459532.0
ous,ru,1495812.0,60.91,61.52,31.45,91.0,20.0,4.14,1553459765.0
toora-khem,ru,1489401.0,52.47,96.11,20.47,84.0,76.0,2.57,1553459766.0
ugoofaaru,mv,1337619.0,5.67,73.0,83.56,100.0,0.0,11.3,1553459766.0
villa del rosario,ve,3628966.0,10.32,-72.31,79.15,63.0,68.0,5.48,1553459766.0
kyren,ru,2021031.0,51.68,102.13,11.65,78.0,12.0,2.57,1553459767.0
cortez,us,5418104.0,37.35,-108.58,49.96,37.0,75.0,14.99,1553459649.0
bathsheba,bb,3374083.0,13.22,-59.52,78.8,78.0,75.0,25.28,1553457600.0
zabalj,rs,784068.0,45.37,20.06,50.63,36.0,0.0,3.36,1553459524.0
kirkwall,gb,2645198.0,58.98,-2.96,43.14,75.0,40.0,27.51,1553459727.0
imbituba,br,3461370.0,-28.24,-48.67,82.4,65.0,40.0,6.93,1553457600.0
port hardy,ca,6111862.0,50.7,-127.42,46.4,75.0,20.0,5.82,1553457600.0
salta,ar,3838233.0,-24.79,-65.41,79.2,50.0,40.0,6.93,1553457600.0
passo de camaragibe,br,3388341.0,-9.24,-35.49,84.2,70.0,40.0,14.99,1553457600.0
ust-maya,ru,2013918.0,60.42,134.54,-7.52,59.0,20.0,3.58,1553459770.0
kandi,bj,2393693.0,11.13,2.93,82.66,26.0,48.0,6.93,1553459770.0
suntar,ru,2015913.0,62.16,117.65,3.28,73.0,64.0,2.68,1553459770.0
hartford,us,4835797.0,41.76,-72.69,53.22,19.0,1.0,8.05,1553459662.0
hay river,ca,5972762.0,60.82,-115.79,41.0,48.0,40.0,10.29,1553457600.0
jacmel,ht,3723779.0,18.24,-72.54,86.0,55.0,20.0,16.11,1553459716.0
bemidji,us,5017822.0,47.48,-94.89,35.69,59.0,90.0,10.29,1553459503.0
dhidhdhoo,mv,1337612.0,6.88,73.1,83.83,100.0,0.0,9.73,1553459772.0
andenes,no,3163146.0,69.31,16.12,32.0,100.0,75.0,23.04,1553458800.0
paraiso,mx,4011743.0,24.01,-104.61,77.5,7.0,5.0,10.29,1553459417.0
fairbanks,us,5861897.0,64.84,-147.72,43.59,55.0,40.0,4.7,1553459722.0
deputatskiy,ru,2028164.0,69.3,139.9,-29.03,43.0,8.0,4.92,1553459774.0
henties bay,na,3356832.0,-22.12,14.28,63.0,86.0,80.0,5.01,1553457726.0
sibu,my,1735902.0,2.29,111.83,75.04,88.0,75.0,1.12,1553457600.0
myitkyina,mm,1307741.0,25.38,97.4,61.15,83.0,0.0,2.35,1553459774.0
ialibu,pg,2095925.0,-6.28,143.99,55.48,97.0,100.0,1.9,1553459775.0
iqaluit,ca,5983720.0,63.75,-68.52,6.39,55.0,40.0,4.7,1553459565.0
gasa,bt,1252578.0,27.91,89.73,-13.28,33.0,0.0,0.67,1553459775.0
takoradi,gh,2294915.0,4.89,-1.75,83.11,95.0,44.0,9.06,1553459627.0
dunedin,nz,2191562.0,-45.87,170.5,63.0,91.0,92.0,8.28,1553459725.0
san cristobal,ec,3652567.0,-1.02,-79.44,66.37,100.0,92.0,2.68,1553459776.0
pirovskoye,ru,1494941.0,57.63,92.27,17.05,73.0,12.0,4.14,1553459777.0
banda aceh,id,1215502.0,5.56,95.32,75.37,98.0,64.0,1.68,1553459777.0
sassandra,ci,2281951.0,4.95,-6.09,83.92,95.0,20.0,12.41,1553459777.0
gore,et,335943.0,8.15,35.53,68.08,67.0,64.0,1.34,1553459608.0
sioux lookout,ca,6148373.0,50.1,-91.92,24.8,25.0,5.0,4.7,1553457600.0
khatanga,ru,2022572.0,71.98,102.47,4.72,69.0,80.0,10.29,1553459778.0
vega de alatorre,mx,3514843.0,20.03,-96.65,80.05,71.0,0.0,3.91,1553459778.0
bambanglipuro,id,1650434.0,-7.95,110.28,71.14,98.0,56.0,2.68,1553459779.0
chhatak,bd,1185254.0,25.03,91.67,54.67,83.0,0.0,2.91,1553459779.0
makubetsu,jp,2128815.0,42.84,143.34,26.05,83.0,0.0,8.61,1553459780.0
cayenne,gf,3382160.0,4.94,-52.33,80.6,78.0,92.0,6.93,1553457600.0
banjar,id,1650233.0,-7.37,108.54,72.58,99.0,92.0,1.12,1553459780.0
dodge city,us,5445298.0,37.75,-100.02,60.17,48.0,20.0,12.75,1553459496.0
catio,gw,2373526.0,11.28,-15.25,81.94,53.0,88.0,9.17,1553459781.0
mulege,mx,3995236.0,26.88,-111.98,79.6,25.0,0.0,5.14,1553459781.0
ust-nera,ru,2120048.0,64.57,143.24,-10.58,78.0,56.0,2.13,1553459782.0
opuwo,na,3354077.0,-18.06,13.84,69.97,54.0,24.0,1.12,1553459703.0
straumen,no,3135728.0,63.87,11.3,32.7,90.0,75.0,2.24,1553459715.0
guane,cu,3557758.0,22.2,-84.09,74.74,90.0,36.0,5.93,1553459783.0
linden,gy,3377408.0,6.01,-58.31,86.0,62.0,75.0,16.11,1553457600.0
mandalgovi,mn,2030065.0,45.76,106.27,14.08,72.0,0.0,2.91,1553459784.0
hambantota,lk,1244926.0,6.12,81.12,79.24,100.0,0.0,8.72,1553459784.0
porbandar,in,1259395.0,21.64,69.61,75.01,65.0,8.0,11.18,1553459550.0
yenotayevka,ru,467479.0,47.24,47.04,32.8,87.0,8.0,12.3,1553459784.0
iberia,pe,3938531.0,-11.41,-69.49,83.56,75.0,20.0,2.91,1553459785.0
clyde river,ca,5924351.0,70.47,-68.59,-11.21,76.0,75.0,32.21,1553457600.0
hami,cn,1529484.0,42.84,93.51,31.9,52.0,0.0,1.57,1553459554.0
aklavik,ca,5882953.0,68.22,-135.01,24.4,54.0,40.0,4.7,1553457600.0
gravdal,no,3147822.0,59.79,5.78,36.01,86.0,40.0,4.7,1553459763.0
ordu,tr,741100.0,40.98,37.88,41.0,75.0,75.0,4.7,1553457000.0
sao gabriel da cachoeira,br,3662342.0,-0.13,-67.09,87.8,66.0,20.0,4.7,1553457600.0
rockport,us,4723422.0,28.02,-97.05,76.33,78.0,90.0,11.41,1553459720.0
vardo,no,777019.0,70.37,31.11,30.11,100.0,75.0,18.34,1553457000.0
fallon,us,5681948.0,46.84,-105.12,39.2,86.0,90.0,13.87,1553457360.0
isangel,vu,2136825.0,-19.55,169.27,80.32,100.0,68.0,19.91,1553459646.0
burley,us,5587385.0,42.54,-113.79,43.43,75.0,90.0,13.87,1553457180.0
muros,es,3115824.0,42.77,-9.06,54.73,47.0,0.0,8.05,1553459703.0
naze,jp,1855540.0,28.37,129.48,61.15,100.0,8.0,2.13,1553459789.0
mildura,au,2157698.0,-34.18,142.16,62.28,67.0,40.0,10.29,1553459465.0
anan,jp,1865309.0,33.91,134.64,37.89,80.0,75.0,11.41,1553459521.0
novovarshavka,ru,1496633.0,54.17,74.7,27.22,90.0,80.0,3.8,1553459790.0
ambulu,id,1621313.0,-8.35,113.61,76.9,100.0,68.0,2.13,1553459790.0
ixtapa,mx,4004293.0,20.71,-105.21,80.8,61.0,5.0,13.87,1553459704.0
karsun,ru,552133.0,54.2,46.98,30.55,95.0,92.0,3.24,1553459791.0
fonte boa,br,3664207.0,-2.51,-66.09,85.0,79.0,36.0,2.13,1553459791.0
san carlos de bariloche,ar,7647007.0,-41.13,-71.31,69.8,18.0,0.0,4.7,1553457600.0
khandagayty,ru,1503796.0,50.73,92.05,14.98,58.0,56.0,2.13,1553459792.0
luanda,ao,2240449.0,-8.83,13.24,78.8,74.0,75.0,11.41,1553457600.0
kitimat,ca,5993072.0,54.02,-128.69,50.0,53.0,20.0,8.05,1553457600.0
patu,br,3392862.0,-6.1,-37.64,78.34,85.0,68.0,2.57,1553459793.0
saint-ambroise,ca,6137381.0,48.56,-71.32,22.78,67.0,20.0,18.34,1553459589.0
chimbote,pe,3698304.0,-9.08,-78.59,73.48,80.0,32.0,4.81,1553459794.0
jalu,ly,86049.0,29.03,21.55,62.5,52.0,0.0,12.97,1553459794.0
bilibino,ru,2126682.0,68.06,166.44,2.65,62.0,8.0,6.04,1553459794.0
la palma,pa,3707058.0,8.4,-78.14,91.48,51.0,32.0,10.74,1553459795.0
mairena del alcor,es,2514288.0,37.37,-5.75,60.51,51.0,0.0,4.7,1553459500.0
batagay,ru,2027044.0,67.65,134.64,-21.02,29.0,8.0,2.91,1553459795.0
kindberg,at,2774437.0,47.51,15.45,49.91,66.0,0.0,9.17,1553459525.0
ponta delgada,pt,3372783.0,37.73,-25.67,56.86,77.0,20.0,8.05,1553459755.0
mogadishu,so,53654.0,2.04,45.34,83.11,97.0,64.0,12.64,1553459797.0
comodoro rivadavia,ar,3860443.0,-45.87,-67.48,62.6,72.0,40.0,11.41,1553457600.0
sabha,ly,2212775.0,27.03,14.43,55.66,54.0,24.0,6.38,1553459708.0
san lorenzo,bo,3907080.0,-17.53,-65.92,82.4,28.0,75.0,8.05,1553457600.0
palmas,br,3474574.0,-10.18,-48.33,86.0,66.0,20.0,2.24,1553457600.0
vaitape,pf,4033077.0,-16.52,-151.75,85.18,96.0,68.0,12.97,1553459799.0
kamina,cd,214614.0,-8.74,25.0,69.16,95.0,68.0,6.15,1553459800.0
borculo,nl,2758626.0,52.11,6.52,41.92,69.0,0.0,5.82,1553459787.0
samarai,pg,2132606.0,-10.62,150.67,79.87,100.0,88.0,15.66,1553459800.0
mackenzie,ca,6063191.0,55.34,-123.09,39.2,80.0,20.0,6.93,1553457600.0
rosarito,mx,3980161.0,27.04,-109.91,84.58,12.0,5.0,6.93,1553459656.0
lar,ir,133595.0,27.66,54.32,60.8,93.0,0.0,16.11,1553457600.0
anloga,gh,2304548.0,5.79,0.9,84.2,83.0,20.0,11.41,1553457600.0
olga,ru,2018553.0,43.74,135.29,29.65,81.0,0.0,4.36,1553459802.0
vostok,ru,2013279.0,46.45,135.83,25.51,96.0,88.0,2.13,1553459802.0
weyburn,ca,6179652.0,49.67,-103.85,32.0,63.0,32.0,10.0,1553459469.0
angoche,mz,1052944.0,-16.23,39.91,82.12,100.0,32.0,12.08,1553459803.0
kilindoni,tz,157429.0,-7.91,39.67,83.11,100.0,8.0,6.71,1553459803.0
puerto escondido,mx,3520994.0,15.86,-97.07,84.2,70.0,20.0,11.41,1553456700.0
rudnyy,ru,2017377.0,44.28,134.96,28.3,88.0,8.0,4.92,1553459804.0
minab,ir,123941.0,27.15,57.07,66.2,68.0,0.0,1.12,1553457600.0
kirando,tz,157107.0,-7.37,30.62,72.94,100.0,8.0,4.36,1553459805.0
corinto,ni,3620269.0,12.48,-87.17,94.18,34.0,12.0,5.82,1553459805.0
mbeya,tz,154380.0,-8.91,33.47,59.35,88.0,48.0,2.13,1553459806.0
chichli,in,1274267.0,22.83,78.82,65.56,47.0,0.0,4.81,1553459769.0
tazovskiy,ru,1489853.0,67.47,78.7,20.92,88.0,32.0,15.55,1553459806.0
hervey bay,au,2146219.0,-25.3,152.85,72.05,94.0,76.0,5.14,1553459708.0
